date,Size USD,Closed PnL,Sentiment Value,Sentiment Class,Trade Count
2024-08-08,16299.35,-40.712216999999995,20,Extreme Fear,9
2024-08-09,503204.86,18082.071276,48,Neutral,144
2024-08-10,11339.29,0.0,40,Fear,88
2024-08-11,44230.21,847.7766200000001,39,Fear,24
2024-08-12,54167.32,858.6705000000001,25,Fear,48
2024-08-13,20797.87,212.08102,31,Fear,23
2024-08-14,66710.03,2168.9015130000003,30,Fear,25
2024-08-15,1522.3700000000001,0.0,29,Fear,12
2024-08-16,166382.84,825.230544,27,Fear,35
2024-08-17,30248.96,-288.283113,25,Fear,30
2024-08-18,62804.48,307.201888,31,Fear,15
2024-08-19,100315.03,339.69958299999996,28,Fear,8
2024-08-20,49914.8,192.602844,30,Fear,12
2024-08-21,104990.41,656.200925,26,Fear,145
2024-08-23,63509.56,1005.30527,34,Fear,10
2024-08-24,34999.67,0.0,56,Greed,7
2024-08-25,21950.28,0.0,54,Neutral,17
2024-08-26,92611.27,231.236918,55,Greed,6
2024-08-27,70250.16,0.0,48,Neutral,50
2024-08-28,71160.06999999999,1333.359645,30,Fear,9
2024-08-29,9995.85,0.0,29,Fear,1
2024-08-30,37233.24,256.464,34,Fear,6
2024-08-31,107507.43000000001,10.882801,29,Fear,34
2024-09-01,12359.68,137.433093,26,Fear,12
2024-09-02,30000.42,0.0,26,Fear,2
2024-09-04,131480.97,1065.785132,27,Fear,34
2024-09-05,0.84,0.0,29,Fear,1
2024-09-06,39047.1,-1104.856765,22,Extreme Fear,42
2024-09-08,0.11,0.0,29,Fear,1
2024-09-09,4014.4300000000003,0.0,26,Fear,2
2024-09-10,2547.28,-219.729659,33,Fear,3
2024-09-11,0.54,0.0,37,Fear,1
2024-09-14,1014.8000000000001,0.0,50,Neutral,11
2024-09-18,13633.5,-878.684794,45,Neutral,145
2024-09-19,1521.8700000000001,0.0,49,Neutral,19
2024-09-20,332873.38,9585.03428,54,Neutral,16
2024-09-21,165648.12,36165.56933,54,Neutral,23
2024-09-22,19999.739999999998,0.0,52,Neutral,3
2024-09-23,40334.29,334.760796,50,Neutral,2
2024-09-24,7118.63,0.0,54,Neutral,10
2024-09-25,52754.130000000005,0.0,59,Greed,9
2024-09-26,113711.93000000001,439.812513,50,Neutral,8
2024-09-27,126097.04,0.0,61,Greed,56
2024-09-28,29199.21,0.0,64,Greed,4
2024-09-30,214669.85,2710.626288,61,Greed,106
2024-10-01,139954.32,0.0,50,Neutral,4
2024-10-02,99954.34,0.0,42,Fear,4
2024-10-03,132935.69,100.375782,37,Fear,9
2024-10-04,0.34,0.0,41,Fear,1
2024-10-05,605605.74,5767.161892,49,Neutral,37
2024-10-06,300130.56,130.487079,50,Neutral,22
2024-10-07,219984.65,0.0,50,Neutral,21
2024-10-08,434584.13,5396.546638,49,Neutral,36
2024-10-09,220399.93,396.06272,49,Neutral,14
2024-10-10,300024.33999999997,0.0,39,Fear,16
2024-10-11,488904.19,8885.327477,32,Fear,26
2024-10-12,159713.4,541.55471,49,Neutral,10
2024-10-13,60002.42,0.0,50,Neutral,10
2024-10-14,61916.020000000004,1913.61958,48,Neutral,5
2024-10-15,81173.36,1170.2260760000001,65,Greed,7
2024-10-16,80229.17,219.480876,73,Greed,11
2024-10-17,140531.75,36.11496,71,Greed,9
2024-10-18,120331.43000000001,333.219141,73,Greed,6
2024-10-19,99996.86,0.0,72,Greed,4
2024-10-20,176447.86000000002,389.155797,73,Greed,96
2024-10-21,324117.99,2464.915564,72,Greed,173
2024-10-22,60000.36,0.0,70,Greed,3
2024-10-23,210006.07,-46.489941,71,Greed,18
2024-10-25,427883.18,13235.862071,72,Greed,30
2024-10-27,90664.41,666.6623079999999,74,Greed,4
2024-10-28,121495.25,167.28016200000002,72,Greed,13
2024-10-29,613267.8099999999,801.170876,72,Greed,53
2024-10-30,11830.85,9.150023,77,Extreme Greed,25
2024-10-31,896173.36,1214.043811,77,Extreme Greed,48
2024-11-01,260981.03,1040.475736,75,Extreme Greed,23
2024-11-02,40000.0,0.0,72,Greed,2
2024-11-03,129055.66,0.0,74,Greed,6
2024-11-04,451811.97,2799.410474,70,Greed,36
2024-11-05,200627.23,678.4759280000001,70,Greed,10
2024-11-06,123906.9,2817.83723,70,Greed,15
2024-11-07,111335.3,4493.353136,77,Extreme Greed,113
2024-11-08,270700.44,-64.41354100000007,75,Extreme Greed,39
2024-11-09,193384.41,102.90894,75,Extreme Greed,86
2024-11-10,413636.7,991.114334,78,Extreme Greed,173
2024-11-11,1570572.42,6749.630996,76,Extreme Greed,373
2024-11-12,1226354.52,3494.399394,80,Extreme Greed,171
2024-11-13,515336.37,7846.402274,84,Extreme Greed,48
2024-11-14,1008361.81,4563.509225,88,Extreme Greed,110
2024-11-15,1427858.42,4140.740438,80,Extreme Greed,149
2024-11-16,303296.07,2769.521909,86,Extreme Greed,157
2024-11-17,1215987.57,882.975285,90,Extreme Greed,209
2024-11-18,2084339.58,4470.815187,83,Extreme Greed,346
2024-11-19,628031.15,2958.268991,90,Extreme Greed,305
2024-11-20,1999514.1199999999,4210.0928969999995,83,Extreme Greed,550
2024-11-21,598300.62,1692.430891,82,Extreme Greed,535
2024-11-22,1646713.62,-18105.345617,94,Extreme Greed,679
2024-11-23,516245.68,2901.531638,93,Extreme Greed,363
2024-11-24,664952.28,945.550386,80,Extreme Greed,172
2024-11-25,937410.87,5523.740734,82,Extreme Greed,255
2024-11-26,1146902.44,1094.809359,79,Extreme Greed,302
2024-11-27,1444242.53,-2654.495633,75,Extreme Greed,213
2024-11-28,1894225.15,-127075.39958499999,77,Extreme Greed,332
2024-11-29,794262.91,176844.994152,78,Extreme Greed,393
2024-11-30,1732193.7,37316.69352,84,Extreme Greed,373
2024-12-01,814711.82,40886.364494,81,Extreme Greed,416
2024-12-02,585243.56,18489.604313,80,Extreme Greed,270
2024-12-03,1084666.53,23576.539285,76,Extreme Greed,374
2024-12-04,769287.65,292891.815021,78,Extreme Greed,319
2024-12-05,1256750.79,71574.11848800001,84,Extreme Greed,456
2024-12-06,3471019.22,-92624.643895,72,Greed,403
2024-12-07,451733.42,85906.279067,75,Extreme Greed,304
2024-12-08,932939.72,15965.933436,79,Extreme Greed,420
2024-12-09,983949.68,6310.967676,78,Extreme Greed,539
2024-12-10,3150424.08,39325.770231,78,Extreme Greed,1596
2024-12-11,2194098.33,319051.554217,74,Greed,1221
2024-12-12,4557189.87,599151.795008,83,Extreme Greed,1932
2024-12-13,2880824.64,31935.901745,76,Extreme Greed,1173
2024-12-14,2369561.78,167801.399244,83,Extreme Greed,1235
2024-12-15,2583269.81,97525.315279,80,Extreme Greed,1697
2024-12-16,2740808.97,166774.344133,83,Extreme Greed,1055
2024-12-17,5233597.63,219591.305172,87,Extreme Greed,1941
2024-12-18,3798887.07,13682.994673,81,Extreme Greed,1429
2024-12-19,8241709.39,62744.004486000005,75,Extreme Greed,3339
2024-12-20,7681274.71,254969.660039,74,Greed,2488
2024-12-21,4382875.12,150022.163157,73,Greed,1681
2024-12-22,3087320.22,352197.163973,73,Greed,774
2024-12-23,6771878.26,-29430.626577,70,Greed,2347
2024-12-24,1767036.11,14813.780116,73,Greed,338
2024-12-25,347889.35,756.6570469999998,73,Greed,208
2024-12-26,2205242.65,60228.639722,79,Extreme Greed,697
2024-12-27,347913.0,2672.811035,74,Greed,260
2024-12-28,281555.01,940.673623,72,Greed,161
2024-12-29,344628.54,2884.067927,73,Greed,201
2024-12-30,1073865.73,9009.738137,65,Greed,304
2024-12-31,877164.62,5445.01281,64,Greed,306
2025-01-01,282582.1,-9528.065345,66,Greed,96
2025-01-02,774674.84,8716.519087,70,Greed,361
2025-01-03,771208.99,6028.486793,74,Greed,508
2025-01-04,1826029.6199999999,2553.537968,73,Greed,371
2025-01-05,451943.57,3187.719363,72,Greed,239
2025-01-06,556526.99,6064.185393,76,Extreme Greed,573
2025-01-07,1313178.1,16098.227531,78,Extreme Greed,637
2025-01-08,3177275.18,130117.090554,70,Greed,1039
2025-01-09,1020733.25,46975.928902,69,Greed,522
2025-01-10,6547449.68,-10116.875552,50,Neutral,819
2025-01-11,1658098.71,2269.080536,69,Greed,283
2025-01-12,2258459.17,5742.241803,62,Greed,602
2025-01-13,2936648.0100000002,9655.429352,61,Greed,408
2025-01-14,876581.97,16069.512355,63,Greed,275
